id,rep_count,visibility_score,hour_of_day,day_of_week,month,left_knee_angle,right_knee_angle,knee_angle_mean,left_hip_angle,right_hip_angle,hip_angle_mean,trunk_inclination,left_right_symmetry,label_encoded,phase_encoded
159,27,0.9209,0,6,5,134.42,130.98,132.7,128.72,133.84,131.28,14.53,4.28,1,1
160,27,0.8974,0,6,5,146.66,131.94,139.3,133.56,138.26,135.91,12.45,9.71,1,1
161,27,0.8931,0,6,5,125.76,124.51,125.13,122.59,123.93,123.26,14.28,1.29,1,1
162,27,0.917,0,6,5,136.82,146.59,146.59,91.38,76.93,84.16,9.72,4.79,1,0
163,27,0.8719,0,6,5,136.82,140.22,140.22,64.42,77.47,70.95,6.45,4.79,1,0
164,27,0.8872,0,6,5,136.82,139.6,139.6,129.76,121.24,125.5,13.32,4.79,1,0
165,27,0.8824,0,6,5,107.9,98.95,103.42,112.11,121.31,116.71,12.09,9.08,1,0
166,27,0.8863,0,6,5,106.76,102.13,104.45,105.96,120.61,113.29,9.69,9.64,1,0
167,27,0.8992,0,6,5,136.82,117.81,117.81,107.02,114.71,110.86,10.04,4.79,1,0
168,27,0.8928,0,6,5,136.82,126.48,126.48,88.51,53.75,53.75,8.83,4.79,1,0
169,27,0.8246,0,6,5,79.14,118.87,99.01,65.05,66.54,65.79,8.67,20.61,1,0
170,27,0.8124,0,6,5,121.9,129.4,125.65,41.28,47.56,44.42,8.21,6.89,1,0
171,27,0.8738,0,6,5,136.82,82.54,82.54,88.51,65.57,65.57,9.22,4.79,1,0
172,27,0.9217,0,6,5,136.82,132.36,126.24,88.51,106.41,106.41,7.17,4.79,1,0
173,27,0.8788,0,6,5,136.82,123.04,123.04,88.51,106.43,106.43,6.43,4.79,1,0
174,27,0.9243,0,6,5,136.82,129.95,129.95,88.51,109.19,109.19,6.5,4.79,1,0
175,27,0.8776,0,6,5,136.82,129.36,129.36,83.0,96.85,89.93,6.77,4.79,1,0
176,27,0.8832,0,6,5,136.82,125.86,125.86,93.37,106.03,99.7,5.73,4.79,1,0
177,27,0.934,0,6,5,136.82,129.63,129.63,88.51,96.29,96.29,5.43,4.79,1,0
178,27,0.8978,0,6,5,136.82,115.4,115.4,88.51,87.32,87.32,6.44,4.79,1,0
179,27,0.9047,0,6,5,136.82,121.81,121.81,88.51,99.4,99.4,6.61,4.79,1,0
180,27,0.8593,0,6,5,136.82,122.92,122.92,98.28,103.17,100.73,6.8,4.79,1,0
181,27,0.8711,0,6,5,136.82,115.47,115.47,101.13,102.57,101.85,7.03,4.79,1,0
182,30,0.8406,0,6,5,136.82,170.48,170.48,172.59,163.34,167.96,7.16,4.79,1,1
183,30,0.8406,0,6,5,136.82,170.48,170.48,172.59,163.34,167.96,7.16,4.79,1,1
184,30,0.919,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,8.63,4.79,1,1
185,30,0.7357,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,9.71,4.79,1,1
186,30,0.7627,0,6,5,136.82,174.03,174.03,172.71,164.44,168.58,6.47,4.79,1,1
187,30,0.7627,0,6,5,136.82,174.03,174.03,172.71,164.44,168.58,6.47,4.79,1,1
188,30,0.7627,0,6,5,136.82,174.03,174.03,172.71,164.44,168.58,6.47,4.79,1,1
189,30,0.7627,0,6,5,136.82,174.03,174.03,172.71,164.44,168.58,6.47,4.79,1,1
190,30,0.7627,0,6,5,136.82,174.03,174.03,172.71,164.44,168.58,6.47,4.79,1,1
